Data,Path,transform_length_weighting_exponent,precision_threshold,F1,Rank
Brown,tuning/morsel/brown/9,1.25,0.01,63.07,1
Brown,tuning/morsel/brown/7,1.25,0.05,63.05,2
Brown,tuning/morsel/brown/14,1.5,0.01,63.01,3
Brown,tuning/morsel/brown/13,1.5,0.025,62.77,4
Brown,tuning/morsel/brown/12,1.5,0.05,62.65,5
Brown,tuning/morsel/brown/8,1.25,0.025,62.63,6
Brown,tuning/morsel/brown/18,2,0.025,62.62,7
Brown,tuning/morsel/brown/19,2,0.01,62.62,8
Brown,tuning/morsel/brown/2,1,0.05,62.52,9
Brown,tuning/morsel/brown/17,2,0.05,62.43,10
Brown,tuning/morsel/brown/3,1,0.025,62.24,11
Brown,tuning/morsel/brown/4,1,0.01,61.96,12
Brown,tuning/morsel/brown/11,1.5,0.075,61.76,13
Brown,tuning/morsel/brown/16,2,0.075,61.76,14
Brown,tuning/morsel/brown/6,1.25,0.075,61.73,15
Brown,tuning/morsel/brown/1,1,0.075,61.31,16
Brown,tuning/morsel/brown/5,1.25,0.1,60.37,17
Brown,tuning/morsel/brown/10,1.5,0.1,60.3,18
Brown,tuning/morsel/brown/15,2,0.1,60.3,19
Brown,tuning/morsel/brown/0,1,0.1,59.94,20
NE-EN,tuning/morsel/ne_en/12,1.5,0.05,66.35,1
NE-EN,tuning/morsel/ne_en/7,1.25,0.05,66.25,2
NE-EN,tuning/morsel/ne_en/16,2,0.075,65.97,3
NE-EN,tuning/morsel/ne_en/11,1.5,0.075,65.95,4
NE-EN,tuning/morsel/ne_en/1,1,0.075,65.76,5
NE-EN,tuning/morsel/ne_en/2,1,0.05,65.76,6
NE-EN,tuning/morsel/ne_en/6,1.25,0.075,65.76,7
NE-EN,tuning/morsel/ne_en/17,2,0.05,65.66,8
NE-EN,tuning/morsel/ne_en/15,2,0.1,65.48,9
NE-EN,tuning/morsel/ne_en/10,1.5,0.1,65.4,10
NE-EN,tuning/morsel/ne_en/0,1,0.1,65.17,11
NE-EN,tuning/morsel/ne_en/5,1.25,0.1,65.13,12
NE-EN,tuning/morsel/ne_en/18,2,0.025,64.64,13
NE-EN,tuning/morsel/ne_en/13,1.5,0.025,64.09,14
NE-EN,tuning/morsel/ne_en/3,1,0.025,63.75,15
NE-EN,tuning/morsel/ne_en/8,1.25,0.025,63.72,16
NE-EN,tuning/morsel/ne_en/19,2,0.01,62.85,17
NE-EN,tuning/morsel/ne_en/14,1.5,0.01,62.66,18
NE-EN,tuning/morsel/ne_en/4,1,0.01,62.4,19
NE-EN,tuning/morsel/ne_en/9,1.25,0.01,62.19,20
SI-EN,tuning/morsel/si_en/15,2,0.1,65.6,1
SI-EN,tuning/morsel/si_en/11,1.5,0.075,65.29,2
SI-EN,tuning/morsel/si_en/13,1.5,0.025,65.29,3
SI-EN,tuning/morsel/si_en/5,1.25,0.1,65.25,4
SI-EN,tuning/morsel/si_en/16,2,0.075,65.24,5
SI-EN,tuning/morsel/si_en/10,1.5,0.1,65.2,6
SI-EN,tuning/morsel/si_en/6,1.25,0.075,65.1,7
SI-EN,tuning/morsel/si_en/17,2,0.05,65.1,8
SI-EN,tuning/morsel/si_en/18,2,0.025,65.1,9
SI-EN,tuning/morsel/si_en/1,1,0.075,65.07,10
SI-EN,tuning/morsel/si_en/2,1,0.05,64.98,11
SI-EN,tuning/morsel/si_en/12,1.5,0.05,64.96,12
SI-EN,tuning/morsel/si_en/7,1.25,0.05,64.94,13
SI-EN,tuning/morsel/si_en/0,1,0.1,64.85,14
SI-EN,tuning/morsel/si_en/8,1.25,0.025,64.49,15
SI-EN,tuning/morsel/si_en/14,1.5,0.01,64.46,16
SI-EN,tuning/morsel/si_en/9,1.25,0.01,64.24,17
SI-EN,tuning/morsel/si_en/3,1,0.025,64.22,18
SI-EN,tuning/morsel/si_en/19,2,0.01,64.17,19
SI-EN,tuning/morsel/si_en/4,1,0.01,63.7,20